"";"Site.ID";"Site";"Location";"Region";"Period";"Start.BP.site";"End.BP.site";"Start.BP";"End.BP";"C14.Date";"C14...";"Start.BP.14c";"End.BP.14c";"Latitude";"Longitude";"Study.ID";"Individual.ID";"Sample.ID";"Averaged";"Sex";"Age";"Age_Cat";"C.b.coll.";"N.b.coll.";"C.N..bone.";"CN.accept";"X..collagen.yield..bone.";"elevation";"dist2coast";"d2coast_km";"elev.factor";"Temp_Mean";"Precip_Mean";"Temp_Mean_Seasonality";"Precip_Mean_Seasonality";"Temp_Mean.sd";"Precip_Mean.sd";"Temp_Mean_Seasonality.sd";"Precip_Mean_Seasonality.sd";"Demography.kde.14c";"Demography.kde.corr.14c";"Demography.kde.14c.sd";"Demography.kde.corr.14c.sd";"Citations";"median.year"
"23";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;32;"C3 T320 3792";"13";"#N/A";"F";"#N/A";"#N/A";-13,33;20,05;"3.27";"y";"24.3";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,00017987;"2.22e-06";"5.4e-05";"9.39e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"24";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;33;"C3 T304 1068";"14";"#N/A";"M";"#N/A";"#N/A";-12,99;18,32;"3.16";"y";"23.2";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,77;0,02;0,000180672;"2.22e-06";"5.33e-05";"9.26e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"25";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;34;"C4 T407 1304";"15";"#N/A";"M";"#N/A";"#N/A";-11,98;19,13;"3.07";"y";"24.3";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,77;0,02;0,000179214;"2.2e-06";"5.4e-05";"9.14e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"26";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;35;"C7 T725 2479";"16";"#N/A";"F";"#N/A";"#N/A";-12,09;20,32;"3.09";"y";"26.2";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000180365;"2.2e-06";"5.37e-05";"9.22e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"27";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;36;"C4 T411 1354";"17";"#N/A";"F";"#N/A";"#N/A";-12,63;20,53;"3.19";"y";"26.7";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,77;0,02;0,000180117;"2.2e-06";"5.26e-05";"9.28e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"28";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;37;"C4 T428 2641";"18";"#N/A";"M";"#N/A";"#N/A";-11,47;19,8;"3.16";"y";"22";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,75;0,02;0,000179932;"2.21e-06";"5.32e-05";"9.33e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"29";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;38;"C7 R728 2728";"19";"#N/A";"M";"#N/A";"#N/A";-11,76;19,38;"3.16";"y";"22.3";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,77;0,02;0,000179828;"2.21e-06";"5.34e-05";"9.31e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"30";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;39;"C4 T425 3906";"20";"#N/A";"F";"#N/A";"#N/A";-13,09;18,35;"3.13";"y";"24.2";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000180394;"2.21e-06";"5.31e-05";"9.38e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"31";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;40;"A1/1345";"#N/A";"#N/A";"F";"35--49";"#N/A";-9,2;14,5;"3.34";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,6;0,01;0,000114524;"3.67e-06";"3.68e-05";"1.46e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"32";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;45;"A1/1703";"#N/A";"#N/A";"F";"35--49";"#N/A";-11,2;13,1;"3.4";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,61;0,01;0,000115214;"3.69e-06";"3.66e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"33";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;46;"A1/1979";"#N/A";"#N/A";"F";"20--34";"#N/A";-10,7;13,4;"3.42";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,62;0,01;0,000115173;"3.67e-06";"3.63e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"34";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;47;"A1/P6136";"#N/A";"#N/A";"M";"20--34";"#N/A";-11,2;15;"3.37";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,64;0,01;0,000114933;"3.66e-06";"3.69e-05";"1.48e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"35";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;48;"A1/P6504";"#N/A";"#N/A";"M";"20--34";"#N/A";-10,8;14,8;"3.29";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,63;0,01;0,000115536;"3.69e-06";"3.65e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"36";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;49;"A1/P6677";"#N/A";"#N/A";"M";"35--49";"#N/A";-12,2;13;"3.31";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,63;0,01;0,000115464;"3.68e-06";"3.65e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"37";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;50;"A1/P6865";"#N/A";"#N/A";"F";"35--49";"#N/A";-9,6;14,9;"3.31";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,63;0,01;0,000115385;"3.68e-06";"3.62e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"38";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;51;"A1/P7854";"#N/A";"#N/A";"M";"50+";"#N/A";-8,5;14,7;"3.22";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,62;0,01;0,000115125;"3.67e-06";"3.66e-05";"1.45e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"39";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;52;"A1/P7968";"#N/A";"#N/A";"F";"20--34";"#N/A";-12,4;15;"3.4";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,61;0,01;0,000115498;"3.67e-06";"3.64e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"40";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;54;"CF-03-II";"#N/A";"#N/A";"F";"20--34";"#N/A";-10;13,5;"3.34";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,62;0,01;0,000115437;"3.68e-06";"3.64e-05";"1.46e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"41";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;55;"CF-08-I";"#N/A";"#N/A";"M";"20--34";"#N/A";-10,1;14,9;"3.33";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,61;0,01;0,00011497;"3.65e-06";"3.63e-05";"1.47e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
"42";"Ancon";"Ancon";"Central Coast";"Central Coast";"Middle Horizon";1450;950;1450;950;NA;NA;"#N/A";"#N/A";-117,709;-771,718;56;"CF-08-II";"#N/A";"#N/A";"M";"35--49";"#N/A";-10,2;14,1;"3.31";"y";"#N/A";13;"1.089.599.171";"1.089.599.171";"Coastal";14,65;2,59;91,69;0,67;0,04;0,03;1,64;0,01;0,000115072;"3.69e-06";"3.62e-05";"1.45e-06";"Slovak, N. M., Paytan, A., & Wiegand, B. A. (2009). Reconstructing Middle Horizon mobility patterns on the coast of Peru through strontium isotope analysis. Journal of Archaeological Science, 36(1), 157-165.";NA
