Site.ID,Site,Location,Region,Period,Start.BP.site,End.BP.site,Start.BP,End.BP,C14.Date,C14...,Start.BP.14c,End.BP.14c,Latitude,Longitude,Study.ID,Individual.ID,Sample.ID,Averaged,Sex,Age,Age_Cat,C.b.coll.,N.b.coll.,C.N..bone.,CN.accept,X..collagen.yield..bone.,elevation,dist2coast,d2coast_km,elev.factor,Temp_Mean,Precip_Mean,Temp_Mean_Seasonality,Precip_Mean_Seasonality,Temp_Mean.sd,Precip_Mean.sd,Temp_Mean_Seasonality.sd,Precip_Mean_Seasonality.sd,Demography.kde.14c,Demography.kde.corr.14c,Demography.kde.14c.sd,Demography.kde.corr.14c.sd,Citations,median.year
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,14,519-6-5,s-2-1,y,M,#N/A,#N/A,-11.36,24.36,3.17,y,19.2,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.37,0.02,0.000132016,0.00000197,0.0000398,0.000000852,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",849.5
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,15,344,s-46,#N/A,M,#N/A,#N/A,-11.23,14.2,3.14,y,16.3,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.38,0.02,0.000131595,0.00000197,0.0000402,0.000000845,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",849
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,16,354,s-47,y,F,#N/A,#N/A,-12.62,15.47,3.1,y,12.5,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.37,0.02,0.000132085,0.00000197,0.0000402,0.000000858,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",851.5
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,17,520-2-3,s-48,y,M,#N/A,#N/A,-12.08,20.84,3.15,y,9.6,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.38,0.02,0.000131515,0.00000196,0.0000401,0.000000851,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",848
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,18,381-1-1,s-49,y,F,#N/A,#N/A,-13.05,16.67,3.25,y,14.6,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.34,0.02,0.000132552,0.00000196,0.0000403,0.000000855,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",849
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,19,334,s-2-2,y,F,#N/A,#N/A,-18.6,11.87,3.25,y,19.9,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.35,0.02,0.000131528,0.00000196,0.0000399,0.000000867,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",849
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,20,C4 R404 1271,1,#N/A,M,#N/A,#N/A,-12.56,20.91,3.05,y,21.5,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.77,0.02,0.000179896,0.0000022,0.0000534,0.000000943,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",726
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,21,C3 T314 1156,2,#N/A,M,#N/A,#N/A,-14.79,15.85,3.34,y,23.5,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.79,0.02,0.000179573,0.00000219,0.0000528,0.000000918,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,22,C3 T321 3494,3,#N/A,F,#N/A,#N/A,-11.41,20.54,3.1,y,21.4,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000179839,0.00000219,0.0000538,0.000000933,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,23,C7 T722 2406,4,#N/A,F,#N/A,#N/A,-12.35,19.77,3.07,y,23.4,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000179359,0.00000221,0.0000535,0.000000922,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",727
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,24,C4 R427 3907,5,#N/A,M,#N/A,#N/A,-12.61,20.44,3.07,y,22.3,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.79,0.02,0.000179635,0.00000222,0.0000539,0.000000941,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",724
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,25,C7 T746 2975,6,#N/A,F,#N/A,#N/A,-13.44,17.12,3.24,y,25.4,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000180437,0.00000222,0.0000535,0.000000925,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,26,C3 T301 1000,7,#N/A,F,#N/A,#N/A,-13.84,15.56,3.08,y,23.4,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.76,0.02,0.000178896,0.00000219,0.0000535,0.00000092,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",724
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,27,C7 R750 3103,8,#N/A,M,#N/A,#N/A,-13.22,19.48,3.16,y,23.9,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.79,0.02,0.000179865,0.00000222,0.000053,0.000000933,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,28,C3 T310 1144,9,#N/A,M,#N/A,#N/A,-12.16,18.52,3.09,y,26.4,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000178362,0.00000219,0.000054,0.000000937,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",724
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,29,C4 R419 3658,10,#N/A,F,#N/A,#N/A,-12.46,21,3.13,y,16.4,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000180672,0.0000022,0.0000539,0.000000929,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",726
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,30,C7 T751 3147,11,#N/A,M,#N/A,#N/A,-11.34,18.83,3.17,y,24.9,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000179074,0.00000221,0.0000533,0.000000936,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",726
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,31,C7 R720 2375,12,#N/A,F,#N/A,#N/A,-12.39,18.77,3.09,y,27.2,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.8,0.02,0.000179688,0.00000219,0.0000534,0.000000942,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",723
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,32,C3 T320 3792,13,#N/A,F,#N/A,#N/A,-13.33,20.05,3.27,y,24.3,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.00017987,0.00000222,0.000054,0.000000939,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",727
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,33,C3 T304 1068,14,#N/A,M,#N/A,#N/A,-12.99,18.32,3.16,y,23.2,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.77,0.02,0.000180672,0.00000222,0.0000533,0.000000926,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",723
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,34,C4 T407 1304,15,#N/A,M,#N/A,#N/A,-11.98,19.13,3.07,y,24.3,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.77,0.02,0.000179214,0.0000022,0.000054,0.000000914,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,35,C7 T725 2479,16,#N/A,F,#N/A,#N/A,-12.09,20.32,3.09,y,26.2,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.78,0.02,0.000180365,0.0000022,0.0000537,0.000000922,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,36,C4 T411 1354,17,#N/A,F,#N/A,#N/A,-12.63,20.53,3.19,y,26.7,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.77,0.02,0.000180117,0.0000022,0.0000526,0.000000928,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",726
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,37,C4 T428 2641,18,#N/A,M,#N/A,#N/A,-11.47,19.8,3.16,y,22,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.75,0.02,0.000179932,0.00000221,0.0000532,0.000000933,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
Alta,Alta,Osmore Valley,South Coast,Late Intermediate Period,850,600,850,600,NA,NA,#N/A,#N/A,-17.6426,-71.3091,38,C7 R728 2728,19,#N/A,M,#N/A,#N/A,-11.76,19.38,3.16,y,22.3,205,7119.613738,7.119613738,Coastal,19.51,0.08,181.45,0.85,0.05,0,2.77,0.02,0.000179828,0.00000221,0.0000534,0.000000931,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",725
